sentence,SCONJ,mark,PRON,nsubj,VERB,ROOT,DET,det,NOUN,compound,dobj,relcl,PART,aux,xcomp,ADV,advmod,PUNCT,punct,ccomp,ADP,prep,pobj,CCONJ,cc,conj,npadvmod,AUX,acomp,ADJ,amod,prt,PROPN,poss,nsubjpass,auxpass,NUM,attr,nummod,pcomp,X,INTJ,intj,expl,neg,preconj,predet,advcl,dep,dative,appos,nmod
As we approach the lecture date I wanted to touch base again.,As,As,I,I,touch,approach,the,the,base,lecture,base,wanted,to,to,touch,again,again,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will let you know about dates and times later this morning.,,,you,you,know,let,this,this,morning,,,,,Will,,later,later,.,.,know,about,about,dates,and,and,times,morning,,,,,,,,,,,,,,,,,,,,,,,,,
I am at all surprised given the political climate.,,,I,I,given,am,the,the,climate,,,,,,,all,all,.,.,,,given,climate,,,,,am,surprised,political,political,,,,,,,,,,,,,,,,,,,,,
H student is working on until the end of this summer.,,,,student,working,working,this,this,summer,H,,,,is,,,,.,.,,of,of,summer,,,,,is,,,,on,,,,,,,,,,,,,,,,,,,,
Gabe about your work for WAMM.,,,,,,Gabe,your,,work,,,,,,,,,.,.,,for,for,WAMM,,,,,,,,,,WAMM,your,,,,,,,,,,,,,,,,,,
Good morning Dr.,,,,,,morning,,,morning,,,,,,,,,,,,,,,,,,Dr.,,,Good,Good,,Dr.,,,,,,,,,,,,,,,,,,,
Sorry for the late respond is due to Internet problem.,,,,Sorry,,is,the,the,problem,Internet,,,,,,,,.,.,,to,to,problem,,,,,is,due,due,late,,,,,,,,,,,,,,,,,,,,,
Your organization has been nominated to receive donations through the Amgen Foundation Matching Gifts Program.,,,,,receive,nominated,the,the,donations,Gifts,donations,,to,to,receive,,,.,.,,through,through,Program,,,,,been,,,,,Program,Your,organization,been,,,,,,,,,,,,,,,,
Koinadougou chili cookoff!,,,,,,cookoff,,,cookoff,chili,,,,,,,,!,!,,,,,,,,,,,,,,chili,,,,,,,,,,,,,,,,,,,
Sorry for all of the emails.,,,,,,Sorry,the,the,emails,,,,,,,,,.,.,,of,of,emails,,,,,,,Sorry,,,,,,,,,,,,,,,,,,,,,,
I wanted to connect you two.,,,you,I,connect,wanted,,,,,two,,to,to,connect,,,.,.,,,,,,,,,,,,,,,,,,two,,,,,,,,,,,,,,,
Sailing has been good.,,,,Sailing,,been,,,Sailing,,,,,has,,,,.,.,,,,,,,,,been,good,good,,,,,,,,,,,,,,,,,,,,,,
Good morning everyone!,,,everyone,,,everyone,,,morning,morning,,,,,,,,!,!,,,,,,,,,,,Good,Good,,,,,,,,,,,,,,,,,,,,,
Our board meeting was pushed back to this Sunday.,,,,,pushed,pushed,this,this,meeting,board,,,,,,back,back,.,.,,to,to,Sunday,,,,,was,,,,,Sunday,Our,meeting,was,,,,,,,,,,,,,,,,
Thanks so much gabriel.,,,,,,Thanks,,,gabriel,,,,,,,so,so,.,.,,,,,,,,gabriel,,,much,much,,,,,,,,,,,,,,,,,,,,,
You are the man!,,,You,You,,are,the,the,man,,,,,,,,,!,!,,,,,,,,,are,,,,,,,,,,man,,,,,,,,,,,,,,
Freetown to have zero Ebola infections.,,,,Freetown,Freetown,have,,,infections,Ebola,infections,,to,to,,,,.,.,,,,,,,,,have,,,,,Ebola,,,,zero,,zero,,,,,,,,,,,,,
Let me know if you have a preference!,if,if,you,you,know,Let,a,a,preference,,preference,,,,,,,!,!,have,,,,,,,,have,,,,,,,,,,,,,,,,,,,,,,,,
I would definitely be open to doing that.,,,I,I,doing,be,that,,,,that,,,would,,definitely,definitely,.,.,,to,to,,,,,,be,open,open,,,,,,,,,,doing,,,,,,,,,,,,
I hope you have a wonderful time with your family!,,,you,you,hope,hope,your,a,family,,time,,,,,,,!,!,have,with,with,family,,,,,have,,wonderful,wonderful,,,your,,,,,,,,,,,,,,,,,,
Thanks again for all your help in getting these funds to Mfangano!,,,,,getting,Thanks,these,these,funds,,funds,,,,,again,again,!,!,,to,to,Mfangano,,,,,,,,,,Mfangano,your,,,,,,getting,,,,,,,,,,,,
I will be living in for longer than a year.,than,,I,I,living,living,a,a,year,,,,,be,,,in,.,.,,for,than,year,,,,,be,,longer,,,,,,,,,,,,,,,,,,,,,,
V program to several students at Tulane.,,,,,,program,,V,students,,,,,,,,,.,.,,at,at,Tulane,,,,,,,several,several,,Tulane,,,,,,,,V,,,,,,,,,,,
Do you have a list of potential grant sources we could choose from?,,,we,we,choose,have,a,a,sources,grant,list,choose,,could,,,,?,?,,from,from,sources,,,,,have,,potential,potential,,,,,,,,,,,,,,,,,,,,,
Brandon was the natural fit to assist our loyal local customers.,,,,Brandon,assist,was,our,the,customers,,customers,,to,to,assist,,,.,.,,,,,,,,,was,,local,local,,Brandon,our,,,,fit,,,,,,,,,,,,,,
This is so solid.,,,,This,,is,This,,,,,,,,,so,so,.,.,,,,,,,,,is,solid,solid,,,,,,,,,,,,,,,,,,,,,,
Looping in more of the team for extra guidance.,,,,,Looping,Looping,the,the,guidance,,,,,,,,,.,.,,for,for,guidance,,,,,,,extra,extra,,,,,,,,,,,,,,,,,,,,,
We met several weeks ago via phone with Gabe about your work for WAMM.,,,We,We,met,met,your,,work,,,,,,,ago,ago,.,.,,for,for,WAMM,,,,weeks,,,several,several,,WAMM,your,,,,,,,,,,,,,,,,,,
Sorry for missing this.,,,,,missing,Sorry,this,,,,this,,,,,,,.,.,,for,for,,,,,,,,Sorry,,,,,,,,,,missing,,,,,,,,,,,,
I attached the poster and abstract to begin getting our materials in place.,,,I,I,getting,attached,our,the,place,,materials,,to,to,getting,,,.,.,,in,in,place,and,and,abstract,,,,abstract,,,,our,,,,,,,,,,,,,,,,,,
Would appreciate it.,,,it,,appreciate,appreciate,,,,,it,,,Would,,,,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please let me know if there is anything that needs to change or be added.,if,if,anything,that,added,let,that,,,,,needs,to,to,change,,,.,.,is,,,,or,or,added,,be,,,,,,,,be,,anything,,,,Please,Please,there,,,,,,,,
This donation was made.,,,,,made,made,This,This,donation,,,,,,,,,.,.,,,,,,,,,was,,,,,,,donation,was,,,,,,,,,,,,,,,,
Annual Meeting Minutes.,,,,,,Minutes,,,,Meeting,,,,,,,,.,.,,,,,,,,,,,,Annual,,Minutes,,,,,,,,,,,,,,,,,,,
I noticed you are using money gram for your wire transfer.,,,you,you,using,noticed,your,,transfer,wire,gram,,,are,,,,.,.,using,for,for,transfer,,,,,are,,,,,,your,,,,,,,,,,,,,,,,,,
Time is not on our side neither in our Favour.,,,,Time,,is,our,,side,,,,not,,,,,.,.,,in,in,Favour,neither,,,,is,,,,,Favour,our,,,,,,,,,,,not,neither,,,,,,
Feel free to contact us in case the need arises.,,,us,need,arises,Feel,the,the,need,,us,arises,to,to,contact,,,.,.,,in,in,case,,,,,,free,free,,,,,,,,,,,,,,,,,,,,,,
I would really appreciate all the feedback you have.,,,you,you,appreciate,appreciate,the,the,feedback,,feedback,have,,would,,really,really,.,.,,,,,,,,,have,,,,,,,,,,,,,,,,,,,all,,,,,
Thanks for putting this all together Andy.,,,,,putting,Thanks,all,,Thanks,,Andy,,,,,together,together,.,.,,for,for,,,,,,,,,,,Andy,,,,,,,putting,,,,,,,,,,,,
Hope you are having a fantastic weekend!,,,you,you,having,Hope,a,a,weekend,,weekend,,,are,,,,!,!,having,,,,,,,,are,,fantastic,fantastic,,,,,,,,,,,,,,,,,,,,,
Thursday and Friday and next week.,,,,,,Thursday,,,week,,,,,,,,,.,.,,,,,and,and,week,,,,next,next,,Friday,,,,,,,,,,,,,,,,,,,
Looking forward to your reply!,,,,,Looking,Looking,your,,reply,,,,,,,forward,forward,!,!,,to,to,reply,,,,,,,,,,,your,,,,,,,,,,,,,,,,,,
In solidarity we can achieve a lot!,,,we,we,achieve,achieve,a,a,lot,,lot,,,can,,,,!,!,,In,In,solidarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do you see it?,,,it,you,see,see,,,,,it,,,do,,How,How,?,?,,,,,,,,,do,,,,,,,,,,,,,,,,,,,,,,,,
I say ooosh.,,,I,I,say,say,,,,,ooosh,,,,,,,.,.,,,,,,,,,,,,,,ooosh,,,,,,,,,,,,,,,,,,,
How or where should i deliver it?,,,it,i,deliver,deliver,,,,,it,,,should,,where,How,?,?,,,,,or,or,where,,,,,,,,,,,,,,,,,,,,,,,,,,
I will let you know as soon as we set a date!,as,as,we,we,set,let,a,a,date,,date,,,will,,soon,soon,!,!,know,,,,,,,,,,,,,,,,,,,,,,,,,,,,set,,,,
Let me know if I can help in any way.,if,if,I,I,help,Let,any,any,way,,,,,can,,,,.,.,help,in,in,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday and Tuesday are both also good days.,,,,Monday,,are,both,,days,,,,,,,also,also,.,.,,,,,and,and,Tuesday,,are,,good,good,,Tuesday,,,,,days,,,,,,,,,,,both,,,
Send her the proposal and we will discuss it over.,,,it,we,discuss,Send,the,the,proposal,,it,,,will,,,,.,.,,over,,,and,and,discuss,,,,,,over,,,,,,,,,,,,,,,,,,her,,
Sent from my phone.,,,,,Sent,Sent,my,,phone,,,,,,,,,.,.,,from,from,phone,,,,,,,,,,,my,,,,,,,,,,,,,,,,,,
Please read the edited letter and the address.,,,,,read,read,the,the,address,,letter,,,,,,,.,.,,,,,and,and,address,,,,edited,edited,,,,,,,,,,,Please,Please,,,,,,,,,
Here are my flight details and I will share the AirBnB info when I get it.,,,it,I,get,are,the,the,info,AirBnB,it,,,will,,when,when,.,.,,,,,and,and,share,,are,,,,,AirBnB,my,,,,,,,,,,,,,,get,,,,
In regards to the proposal I found it to be well written!,,,it,I,written,In,the,the,proposal,,,found,to,to,,well,well,!,!,written,to,to,proposal,,,,,be,,,,,,,it,be,,,,,,,,,,,,,,,,
I look forward to seeing everyone soon!,,,everyone,I,seeing,look,,,,,everyone,,,,,soon,soon,!,!,,to,to,,,,,,,,,,,,,,,,,,seeing,,,,,,,,,,,,
My deepest apologies for this delay.,,,,,,apologies,this,this,delay,,,,,,,,,.,.,,for,for,delay,,,,,,,deepest,deepest,,,My,,,,,,,,,,,,,,,,,,
Last week was insane.,,,,,,was,,,week,,,,,,,,,.,.,,,,,,,,week,was,insane,insane,Last,,,,,,,,,,,,,,,,,,,,,
Thank you again.,,,you,,Thank,Thank,,,,,you,,,,,again,again,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not sure if this changes anything from your end.,if,if,anything,this,changes,sure,your,,end,,anything,,Not,,,,,.,.,changes,from,from,end,,,,,,,sure,,,,your,,,,,,,,,,,Not,,,,,,,
I am sure that is fine.,,,I,that,,am,that,,,,,,,,,,,.,.,is,,,,,,,,is,fine,fine,,,,,,,,,,,,,,,,,,,,,,
It was great speaking with you too!,,,you,It,speaking,was,,,,,,,,,,too,too,!,!,,with,with,you,,,,,was,speaking,great,,,,,,,,,,,,,,,,,,,,,,
Thanks for getting this together!,,,,,getting,Thanks,this,,Thanks,,this,,,,,together,together,!,!,,for,for,,,,,,,,,,,,,,,,,,getting,,,,,,,,,,,,
Thank you both for your kind words.,,,you,,Thank,Thank,your,,words,,you,,,,,,,.,.,,for,for,words,,,,,,,,kind,,,your,,,,,,,,,,,,,,,,,both,
Is funding request intended to stand alone at this time?,,,,request,stand,intended,this,this,time,funding,,,to,to,stand,alone,alone,?,?,,at,at,time,,,,,Is,,,,,,,,,,,,,,,,,,,,,,,,
What are your thoughts on what I mentioned above?,,,I,I,mentioned,are,your,,thoughts,,what,,,,,above,above,?,?,,on,on,,,,,,are,,,,,,your,,,,What,,mentioned,,,,,,,,,,,,
Dictated but not read.,,,,,read,Dictated,,,,,,,not,,,,,.,.,,,,,but,but,read,,,,,,,,,,,,,,,,,,,not,,,,,,,
Andrew says hi from Atlanta!,,,hi,Andrew,says,says,,,,,,,,,,,,!,!,,from,from,Atlanta,,,,,,,,,,Atlanta,,,,,,,,,,hi,,,,,,,,,
Thanks again for your help in getting these funds to Mfangank academy.,,,,,getting,Thanks,these,these,academy,Mfangank,funds,,,,,again,again,.,.,,to,to,academy,,,,,,,,,,Mfangank,your,,,,,,getting,,,,,,,,,,,,
It was nice chatting with you this morning.,,,you,It,chatting,was,this,this,morning,,,,,,,,,.,.,,with,with,you,,,,morning,was,chatting,nice,nice,,,,,,,,,,,,,,,,,,,,,
I connect you with him.,,,him,I,connect,connect,,,,,you,,,,,,,.,.,,with,with,him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will definitely be there!,,,,,Will,be,,,,,,,,Will,,there,there,!,!,,,,,,,,,be,,,,,,,,,,,,,,,,,,,,,,,,
Thanks for taking this on!,,,,,taking,Thanks,this,,Thanks,,this,,,,,,,!,!,,on,for,,,,,,,,,,on,,,,,,,,taking,,,,,,,,,,,,
Did you make it into PA school?,,,it,you,make,make,,,school,PA,it,,,Did,,,,?,?,,into,into,school,,,,,Did,,,,,PA,,,,,,,,,,,,,,,,,,,
Whatever you think will be easiest for the group.,,,you,you,will,think,the,the,group,,,,,will,,,,.,.,be,for,for,group,,,,,be,easiest,easiest,,,,,,,,,,,,,,,,,,,,,,
I want to hear how the WAMM board meeting went.,,,I,meeting,went,want,the,the,meeting,board,,,to,to,hear,how,how,.,.,went,,,,,,,,,,,,,WAMM,,,,,,,,,,,,,,,,,,,
Thank you and nice meeting you as well!,,,you,,Thank,Thank,,,meeting,,you,,,,,well,well,!,!,,,,,and,and,meeting,,,,nice,nice,,,,,,,,,,,,,,,,,,,,,
As you may see Gabriel for back to me.,As,As,me,you,see,see,,,,,Gabriel,,,may,,back,,.,.,,to,to,me,,,,,,,,,,Gabriel,,,,,,,,,,,,,,,,,,,
Looking forward to hearing from you guys.,,,you,,hearing,Looking,,,guys,,,,,,,forward,forward,.,.,,from,from,guys,,,,,,,,,,,,,,,,,hearing,,,,,,,,,,,,you
Sounds excellent buddy!,,,,,Sounds,Sounds,,,buddy,,,,,,,,,!,!,,,,,,,,,,,excellent,excellent,,,,,,,buddy,,,,,,,,,,,,,,
Thanks for getting back to me so quickly.,,,me,,getting,Thanks,,,Thanks,,,,,,,quickly,quickly,.,.,,to,to,me,,,,,,,,,,,,,,,,,getting,,,,,,,,,,,,
Thank you for adding a Development Officer to the Team.,,,you,,adding,Thank,the,the,,Development,Officer,,,,,,,.,.,,to,to,Team,,,,,,,,,,Team,,,,,,,adding,,,,,,,,,,,,
Move to Kenema changes nothing but the HQ address and impact.,but,,nothing,,changes,Move,the,the,impact,HQ,nothing,,,,,,,.,.,,to,but,address,and,and,impact,,,,,Kenema,,HQ,,,,,,,,,,,,,,,,,,,
Family Day weekend.,,,,,,weekend,,,weekend,Day,,,,,,,,.,.,,,,,,,,,,,,,,Day,,,,,,,,,,,,,,,,,,,
I was able to get all the info updated and submitted.,,,I,info,submitted,was,the,the,info,,,,to,to,get,,,.,.,updated,,,,and,and,submitted,,get,able,able,,,,,,,,,,,,,,,,,all,,,,,
Ysp fund is included in the first quarter budget.,,,,,included,included,the,the,budget,quarter,,,,,,,,.,.,,in,in,budget,,,,,is,,first,first,,Ysp,,fund,is,,,,,,,,,,,,,,,,
Hope you doing well.,,,you,you,doing,Hope,,,,,,,,,,well,well,.,.,doing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I would check in.,,,I,I,check,check,,,,,,,,would,,,,.,.,,in,,,,,,,,,,,in,,,,,,,,,,,,,,,,,,,,
I look forward to hearing back from you.,,,you,I,hearing,look,,,,,,,,,,back,back,.,.,,from,from,you,,,,,,,,,,,,,,,,,hearing,,,,,,,,,,,,
Medical Missions Project Development and Funding Toolkit.,,,,,,Development,,,,Funding,,,,,,,,.,.,,,,,and,and,Toolkit,,,,,,,Toolkit,,,,,,,,,,,,,,,,,,,
Here is the information that I mentioned in the email from Brandon.,,,I,I,mentioned,is,the,the,email,,that,mentioned,,,,Here,Here,.,.,,from,from,Brandon,,,,,is,,,,,Brandon,,,,,,,,,,,,,,,,,,,
Thank you for reaching out Gabriel.,,,you,,reaching,Thank,,,,,Gabriel,,,,,,,.,.,,out,for,,,,,,,,,,out,Gabriel,,,,,,,reaching,,,,,,,,,,,,
He said you FaceTimed?,,,you,He,said,said,,,,,you,,,,,,,?,?,,,,,,,,FaceTimed,,,,,,FaceTimed,,,,,,,,,,,,,,,,,,,
You should have just received an email with the receipt.,,,You,You,received,received,the,the,receipt,,email,,,have,,just,just,.,.,,with,with,receipt,,,,,have,,,,,,,,,,,,,,,,,,,,,,,,
Thanks for the words of affirmation.,,,,,,Thanks,the,the,affirmation,,,,,,,,,.,.,,of,of,affirmation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thank you Gabe!,,,you,,Thank,Thank,,,,,you,,,,,,,!,!,,,,,,,,Gabe,,,,,,Gabe,,,,,,,,,,,,,,,,,,,
Let me know if you have any questions.,if,if,you,you,know,Let,any,any,questions,,questions,,,,,,,.,.,have,,,,,,,,have,,,,,,,,,,,,,,,,,,,,,,,,
This is awesome!,,,,This,,is,This,,,,,,,,,,,!,!,,,,,,,,,is,awesome,awesome,,,,,,,,,,,,,,,,,,,,,,
Thanks for putting this together.,,,,,putting,Thanks,this,,Thanks,,this,,,,,together,together,.,.,,for,for,,,,,,,,,,,,,,,,,,putting,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
